330 true_sum = 52667, estimate_sum = 53277, error = 1.158%
331 true_sum = 53242, estimate_sum = 53557, error = 0.592%
332 true_sum = 53775, estimate_sum = 53741, error = -0.063%
333 true_sum = 53800, estimate_sum = 53592, error = -0.387%
334 true_sum = 53763, estimate_sum = 53193, error = -1.060%
335 true_sum = 53618, estimate_sum = 53190, error = -0.798%
336 true_sum = 52939, estimate_sum = 51649, error = -2.437%
337 true_sum = 53208, estimate_sum = 51877, error = -2.502%
338 true_sum = 52721, estimate_sum = 51277, error = -2.739%
339 true_sum = 52507, estimate_sum = 51393, error = -2.122%
340 true_sum = 53165, estimate_sum = 51278, error = -3.549%
341 true_sum = 53359, estimate_sum = 51899, error = -2.736%
342 true_sum = 53454, estimate_sum = 51634, error = -3.405%
343 true_sum = 53012, estimate_sum = 51464, error = -2.920%
344 true_sum = 53207, estimate_sum = 51455, error = -3.293%
345 true_sum = 52739, estimate_sum = 51641, error = -2.082%
346 true_sum = 52600, estimate_sum = 51358, error = -2.361%
347 true_sum = 52256, estimate_sum = 51747, error = -0.974%
348 true_sum = 52070, estimate_sum = 51423, error = -1.243%
349 true_sum = 52409, estimate_sum = 51794, error = -1.173%
350 true_sum = 52817, estimate_sum = 51799, error = -1.927%
351 true_sum = 52869, estimate_sum = 51799, error = -2.024%
352 true_sum = 53240, estimate_sum = 51541, error = -3.191%
353 true_sum = 52365, estimate_sum = 51489, error = -1.673%
354 true_sum = 52456, estimate_sum = 51009, error = -2.759%
355 true_sum = 52329, estimate_sum = 51261, error = -2.041%
356 true_sum = 51937, estimate_sum = 50882, error = -2.031%
357 true_sum = 51646, estimate_sum = 50753, error = -1.729%
358 true_sum = 51049, estimate_sum = 50051, error = -1.955%
359 true_sum = 51297, estimate_sum = 50539, error = -1.478%
360 true_sum = 50945, estimate_sum = 50114, error = -1.631%
361 true_sum = 51145, estimate_sum = 50719, error = -0.833%
362 true_sum = 51713, estimate_sum = 50787, error = -1.791%
363 true_sum = 51283, estimate_sum = 51024, error = -0.505%
364 true_sum = 51555, estimate_sum = 51119, error = -0.846%
365 true_sum = 51204, estimate_sum = 50791, error = -0.807%
366 true_sum = 51097, estimate_sum = 51241, error = 0.282%
367 true_sum = 51407, estimate_sum = 51142, error = -0.515%
368 true_sum = 50913, estimate_sum = 51338, error = 0.835%
369 true_sum = 50586, estimate_sum = 50549, error = -0.073%
370 true_sum = 50476, estimate_sum = 51329, error = 1.690%
371 true_sum = 50288, estimate_sum = 50573, error = 0.567%
372 true_sum = 50538, estimate_sum = 51479, error = 1.862%
373 true_sum = 50548, estimate_sum = 50933, error = 0.762%
374 true_sum = 49961, estimate_sum = 51195, error = 2.470%
375 true_sum = 50173, estimate_sum = 50750, error = 1.150%
376 true_sum = 50991, estimate_sum = 51561, error = 1.118%
377 true_sum = 51164, estimate_sum = 51409, error = 0.479%
378 true_sum = 51486, estimate_sum = 52046, error = 1.088%
379 true_sum = 51681, estimate_sum = 51691, error = 0.019%
380 true_sum = 51007, estimate_sum = 51719, error = 1.396%
381 true_sum = 50945, estimate_sum = 51340, error = 0.775%
382 true_sum = 50815, estimate_sum = 51855, error = 2.047%
383 true_sum = 51651, estimate_sum = 51733, error = 0.159%
384 true_sum = 52005, estimate_sum = 52177, error = 0.331%
385 true_sum = 51996, estimate_sum = 51944, error = -0.100%
386 true_sum = 52172, estimate_sum = 52455, error = 0.542%
387 true_sum = 51592, estimate_sum = 51624, error = 0.062%
388 true_sum = 51799, estimate_sum = 52243, error = 0.857%
389 true_sum = 51509, estimate_sum = 51617, error = 0.210%
390 true_sum = 51755, estimate_sum = 52285, error = 1.024%
391 true_sum = 51751, estimate_sum = 52287, error = 1.036%
392 true_sum = 52493, estimate_sum = 52917, error = 0.808%
393 true_sum = 52271, estimate_sum = 52398, error = 0.243%
394 true_sum = 51810, estimate_sum = 52276, error = 0.899%
395 true_sum = 51967, estimate_sum = 53245, error = 2.459%
396 true_sum = 51499, estimate_sum = 53296, error = 3.489%
397 true_sum = 51046, estimate_sum = 52775, error = 3.387%
398 true_sum = 51168, estimate_sum = 52959, error = 3.500%
399 true_sum = 51375, estimate_sum = 53072, error = 3.303%
400 true_sum = 51885, estimate_sum = 53556, error = 3.221%
401 true_sum = 51194, estimate_sum = 51895, error = 1.369%
402 true_sum = 50533, estimate_sum = 51845, error = 2.596%
403 true_sum = 49985, estimate_sum = 51266, error = 2.563%
404 true_sum = 50665, estimate_sum = 52063, error = 2.759%
405 true_sum = 50654, estimate_sum = 51311, error = 1.297%
406 true_sum = 50594, estimate_sum = 51320, error = 1.435%
407 true_sum = 50735, estimate_sum = 50881, error = 0.288%
408 true_sum = 50713, estimate_sum = 51232, error = 1.023%
409 true_sum = 50359, estimate_sum = 50576, error = 0.431%
410 true_sum = 50067, estimate_sum = 50948, error = 1.760%
411 true_sum = 50263, estimate_sum = 50728, error = 0.925%
412 true_sum = 50816, estimate_sum = 51506, error = 1.358%
413 true_sum = 50756, estimate_sum = 50797, error = 0.081%
414 true_sum = 51286, estimate_sum = 51468, error = 0.355%
415 true_sum = 50551, estimate_sum = 50784, error = 0.461%
416 true_sum = 50286, estimate_sum = 51356, error = 2.128%
417 true_sum = 49692, estimate_sum = 50621, error = 1.870%
418 true_sum = 50218, estimate_sum = 51269, error = 2.093%
419 true_sum = 49891, estimate_sum = 50434, error = 1.088%
420 true_sum = 49756, estimate_sum = 50647, error = 1.791%
421 true_sum = 49213, estimate_sum = 50085, error = 1.772%
422 true_sum = 49609, estimate_sum = 50768, error = 2.336%
423 true_sum = 49628, estimate_sum = 50670, error = 2.100%
424 true_sum = 49497, estimate_sum = 50669, error = 2.368%
425 true_sum = 49404, estimate_sum = 50750, error = 2.724%
426 true_sum = 49858, estimate_sum = 51050, error = 2.391%
427 true_sum = 49919, estimate_sum = 51213, error = 2.592%
428 true_sum = 50445, estimate_sum = 51964, error = 3.011%
429 true_sum = 50916, estimate_sum = 51921, error = 1.974%
430 true_sum = 50944, estimate_sum = 52264, error = 2.591%
431 true_sum = 50828, estimate_sum = 51989, error = 2.284%
432 true_sum = 50148, estimate_sum = 51452, error = 2.600%
433 true_sum = 49971, estimate_sum = 51167, error = 2.393%
434 true_sum = 49804, estimate_sum = 50944, error = 2.289%
435 true_sum = 49904, estimate_sum = 51530, error = 3.258%
436 true_sum = 50621, estimate_sum = 51561, error = 1.857%
437 true_sum = 50892, estimate_sum = 52229, error = 2.627%
438 true_sum = 51305, estimate_sum = 52121, error = 1.590%
439 true_sum = 51652, estimate_sum = 52489, error = 1.620%
440 true_sum = 51869, estimate_sum = 52686, error = 1.575%
441 true_sum = 51190, estimate_sum = 52565, error = 2.686%
442 true_sum = 51080, estimate_sum = 52285, error = 2.359%
443 true_sum = 51148, estimate_sum = 52088, error = 1.838%
444 true_sum = 50498, estimate_sum = 51524, error = 2.032%
445 true_sum = 50527, estimate_sum = 51772, error = 2.464%
446 true_sum = 50131, estimate_sum = 51252, error = 2.236%
447 true_sum = 49571, estimate_sum = 50922, error = 2.725%
448 true_sum = 49585, estimate_sum = 50723, error = 2.295%
449 true_sum = 49440, estimate_sum = 50782, error = 2.714%
450 true_sum = 48766, estimate_sum = 50272, error = 3.088%
451 true_sum = 49274, estimate_sum = 50621, error = 2.734%
452 true_sum = 49324, estimate_sum = 50568, error = 2.522%
453 true_sum = 49667, estimate_sum = 50698, error = 2.076%
454 true_sum = 49944, estimate_sum = 50656, error = 1.426%
455 true_sum = 49957, estimate_sum = 50760, error = 1.607%
456 true_sum = 49826, estimate_sum = 50410, error = 1.172%
457 true_sum = 49903, estimate_sum = 50189, error = 0.573%
458 true_sum = 49800, estimate_sum = 49480, error = -0.643%
459 true_sum = 49703, estimate_sum = 49567, error = -0.274%
460 true_sum = 50226, estimate_sum = 50065, error = -0.321%
461 true_sum = 49891, estimate_sum = 49551, error = -0.681%
462 true_sum = 49544, estimate_sum = 48552, error = -2.002%
463 true_sum = 49284, estimate_sum = 48225, error = -2.149%
464 true_sum = 49318, estimate_sum = 48658, error = -1.338%
465 true_sum = 49091, estimate_sum = 48299, error = -1.613%
466 true_sum = 48695, estimate_sum = 48145, error = -1.129%
